Weak 2D scaling NP=8
Run | Total_Time | Communication | Computation
1 | 1.656103e-02 | 2.715111e-03 | 1.384592e-02
2 | 1.430702e-02 | 2.740145e-03 | 1.156688e-02
3 | 1.384544e-02 | 2.650738e-03 | 1.119471e-02
4 | 1.421022e-02 | 2.715826e-03 | 1.149440e-02
5 | 1.365495e-02 | 2.693415e-03 | 1.096153e-02
6 | 1.368165e-02 | 2.613068e-03 | 1.106858e-02
7 | 1.358581e-02 | 2.634048e-03 | 1.095176e-02
8 | 1.377439e-02 | 2.665043e-03 | 1.110935e-02
9 | 1.565456e-02 | 2.754927e-03 | 1.289964e-02
10 | 1.380324e-02 | 2.637386e-03 | 1.116586e-02
