Strong scaling NP=8
Run | Total_Time | Communication | Computation
1 | 1.796208e+00 | 1.507529e+00 | 2.886786e-01
2 | 1.762803e+00 | 1.485082e+00 | 2.777209e-01
3 | 1.556182e+00 | 1.346747e+00 | 2.094355e-01
4 | 1.538586e+00 | 1.210856e+00 | 3.277299e-01
5 | 1.515888e+00 | 1.279242e+00 | 2.366459e-01
6 | 1.567507e+00 | 1.244154e+00 | 3.233531e-01
7 | 1.490830e+00 | 1.268844e+00 | 2.219861e-01
8 | 1.591795e+00 | 1.263178e+00 | 3.286171e-01
9 | 1.557263e+00 | 1.227540e+00 | 3.297226e-01
10 | 1.552246e+00 | 1.227358e+00 | 3.248880e-01
