Strong 2D scaling NP=64
Run | Total_Time | Communication | Computation
1 | 1.979970e+00 | 1.386715e+00 | 5.932546e-01
2 | 2.035237e+00 | 1.468053e+00 | 5.671847e-01
3 | 1.984253e+00 | 1.449259e+00 | 5.349941e-01
4 | 1.988167e+00 | 1.285164e+00 | 7.030032e-01
5 | 2.067582e+00 | 1.378208e+00 | 6.893737e-01
6 | 1.964659e+00 | 1.295618e+00 | 6.690407e-01
7 | 1.959840e+00 | 1.103241e+00 | 8.565981e-01
8 | 1.942145e+00 | 1.163857e+00 | 7.782884e-01
9 | 1.984595e+00 | 1.320342e+00 | 6.642528e-01
10 | 1.913377e+00 | 1.412317e+00 | 5.010600e-01
