Weak scaling NP=128 - Matrix: WS8.mtx
Run | Total_Time | Communication | Computation
1 | 7.755926e-01 | 6.919281e-01 | 8.366442e-02
2 | 2.054403e+00 | 1.994000e+00 | 6.040359e-02
3 | 5.686121e-01 | 5.025275e-01 | 6.608462e-02
4 | 1.157951e+00 | 1.088016e+00 | 6.993437e-02
5 | 1.370210e+00 | 1.301275e+00 | 6.893492e-02
6 | 7.033138e-01 | 6.295800e-01 | 7.373381e-02
7 | 4.976799e-01 | 4.267261e-01 | 7.095385e-02
8 | 8.318541e-01 | 7.625575e-01 | 6.929660e-02
9 | 6.082430e-01 | 5.215859e-01 | 8.665705e-02
10 | 5.603070e-01 | 4.859688e-01 | 7.433820e-02
