Weak 2D scaling NP=16
Run | Total_Time | Communication | Computation
1 | 1.880264e-02 | 5.642176e-03 | 1.316047e-02
2 | 2.762842e-02 | 7.087469e-03 | 2.054095e-02
3 | 2.327490e-02 | 3.155708e-03 | 2.011919e-02
4 | 2.556777e-02 | 6.079674e-03 | 1.948810e-02
5 | 2.024198e-02 | 5.778313e-03 | 1.446366e-02
6 | 2.768493e-02 | 7.670879e-03 | 2.001405e-02
7 | 2.060652e-02 | 6.132841e-03 | 1.447368e-02
8 | 2.714372e-02 | 7.097483e-03 | 2.004623e-02
9 | 2.758026e-02 | 8.255720e-03 | 1.932454e-02
10 | 2.787352e-02 | 7.818222e-03 | 2.005529e-02
