Strong mpiio scaling NP=1
Run | Total_Time | Communication | Computation
1 | 8.183577e-01 | 6.198883e-06 | 8.183515e-01
2 | 7.976501e-01 | 6.198883e-06 | 7.976439e-01
3 | 8.021462e-01 | 6.198883e-06 | 8.021400e-01
4 | 8.060625e-01 | 7.152557e-06 | 8.060553e-01
5 | 7.943573e-01 | 5.483627e-06 | 7.943518e-01
6 | 8.042951e-01 | 7.390976e-06 | 8.042877e-01
7 | 8.074059e-01 | 5.960464e-06 | 8.074000e-01
8 | 7.765808e-01 | 5.960464e-06 | 7.765749e-01
9 | 7.972281e-01 | 6.198883e-06 | 7.972219e-01
10 | 7.779608e-01 | 5.960464e-06 | 7.779548e-01
