Weak mpiio scaling NP=16
Run | Total_Time | Communication | Computation
1 | 3.329253e-02 | 9.716988e-03 | 2.357554e-02
2 | 4.021502e-02 | 1.042485e-02 | 2.979016e-02
3 | 3.730631e-02 | 1.044703e-02 | 2.685928e-02
4 | 3.704810e-02 | 1.055288e-02 | 2.649522e-02
5 | 3.796291e-02 | 1.107836e-02 | 2.688456e-02
6 | 3.773785e-02 | 9.979010e-03 | 2.775884e-02
7 | 3.948951e-02 | 9.948254e-03 | 2.954125e-02
8 | 3.411436e-02 | 1.039720e-02 | 2.371716e-02
9 | 3.401041e-02 | 1.110053e-02 | 2.290988e-02
10 | 3.872252e-02 | 1.136136e-02 | 2.736115e-02
