Weak mpiio scaling NP=128
Run | Total_Time | Communication | Computation
1 | 2.587373e-01 | 2.060432e-01 | 5.269408e-02
2 | 2.706704e-01 | 1.679664e-01 | 1.027040e-01
3 | 2.393560e-01 | 1.520064e-01 | 8.734965e-02
4 | 2.319076e-01 | 1.525669e-01 | 7.934070e-02
5 | 2.489519e-01 | 1.601267e-01 | 8.882523e-02
6 | 2.669239e-01 | 1.614661e-01 | 1.054578e-01
7 | 2.927074e-01 | 2.132714e-01 | 7.943606e-02
8 | 2.582610e-01 | 1.639807e-01 | 9.428024e-02
9 | 2.504072e-01 | 1.598971e-01 | 9.051013e-02
10 | 2.500057e-01 | 1.696327e-01 | 8.037305e-02
