Weak concurrent scaling NP=2
Run | Total_Time | Communication | Computation
1 | 1.368260e-02 | 7.677078e-04 | 1.291490e-02
2 | 1.551199e-02 | 8.094311e-04 | 1.470256e-02
3 | 1.399422e-02 | 7.550716e-04 | 1.323915e-02
4 | 1.033068e-02 | 7.717609e-04 | 9.558916e-03
5 | 1.387048e-02 | 7.343292e-04 | 1.313615e-02
6 | 1.339865e-02 | 7.994175e-04 | 1.259923e-02
7 | 1.513338e-02 | 7.860661e-04 | 1.434731e-02
8 | 1.546526e-02 | 7.436275e-04 | 1.472163e-02
9 | 1.359773e-02 | 6.411076e-04 | 1.295662e-02
10 | 1.366901e-02 | 6.372929e-04 | 1.303172e-02
