Weak scaling NP=1 - Matrix: WS1.mtx
Run | Total_Time | Communication | Computation
1 | 3.855228e-03 | 5.006790e-06 | 3.850222e-03
2 | 3.769398e-03 | 4.053116e-06 | 3.765345e-03
3 | 3.610373e-03 | 2.145767e-06 | 3.608227e-03
4 | 6.943941e-03 | 5.722046e-06 | 6.938219e-03
5 | 3.633261e-03 | 2.622604e-06 | 3.630638e-03
6 | 3.834009e-03 | 2.861023e-06 | 3.831148e-03
7 | 3.744841e-03 | 4.768372e-06 | 3.740072e-03
8 | 3.780365e-03 | 5.483627e-06 | 3.774881e-03
9 | 3.688574e-03 | 4.529953e-06 | 3.684044e-03
10 | 3.751516e-03 | 5.483627e-06 | 3.746033e-03
