Weak concurrent scaling NP=64
Run | Total_Time | Communication | Computation
1 | 2.378092e-01 | 8.899117e-02 | 1.488180e-01
2 | 2.083249e-01 | 8.569670e-02 | 1.226282e-01
3 | 2.444520e-01 | 1.013563e-01 | 1.430957e-01
4 | 2.851138e-01 | 9.506869e-02 | 1.900451e-01
5 | 2.383738e-01 | 1.067419e-01 | 1.316319e-01
6 | 2.446918e-01 | 1.058967e-01 | 1.387951e-01
7 | 2.487338e-01 | 1.141467e-01 | 1.345870e-01
8 | 2.422462e-01 | 1.082203e-01 | 1.340258e-01
9 | 2.452981e-01 | 1.195025e-01 | 1.257956e-01
10 | 2.438636e-01 | 1.025887e-01 | 1.412749e-01
