Weak mpiio scaling NP=32
Run | Total_Time | Communication | Computation
1 | 7.648110e-02 | 2.917743e-02 | 4.730368e-02
2 | 8.091235e-02 | 3.291440e-02 | 4.799795e-02
3 | 6.527805e-02 | 3.168464e-02 | 3.359342e-02
4 | 8.316326e-02 | 3.100467e-02 | 5.215859e-02
5 | 9.335542e-02 | 3.464818e-02 | 5.870724e-02
6 | 6.667447e-02 | 3.031373e-02 | 3.636074e-02
7 | 7.547188e-02 | 3.030086e-02 | 4.517102e-02
8 | 7.400107e-02 | 2.710509e-02 | 4.689598e-02
9 | 6.973052e-02 | 3.364944e-02 | 3.608108e-02
10 | 7.932043e-02 | 3.519249e-02 | 4.412794e-02
