Strong mpiio scaling NP=8
Run | Total_Time | Communication | Computation
1 | 1.523811e+00 | 1.234705e+00 | 2.891061e-01
2 | 1.424842e+00 | 1.163305e+00 | 2.615371e-01
3 | 1.516724e+00 | 1.253165e+00 | 2.635586e-01
4 | 1.553223e+00 | 1.281776e+00 | 2.714474e-01
5 | 1.597445e+00 | 1.273238e+00 | 3.242068e-01
6 | 1.517072e+00 | 1.263529e+00 | 2.535434e-01
7 | 1.479362e+00 | 1.265448e+00 | 2.139139e-01
8 | 1.531314e+00 | 1.272460e+00 | 2.588532e-01
9 | 1.599628e+00 | 1.329834e+00 | 2.697940e-01
10 | 1.576768e+00 | 1.239014e+00 | 3.377538e-01
