Strong mpiio scaling NP=32
Run | Total_Time | Communication | Computation
1 | 1.848961e+00 | 1.615744e+00 | 2.332175e-01
2 | 1.808346e+00 | 1.626969e+00 | 1.813767e-01
3 | 1.739364e+00 | 1.525436e+00 | 2.139280e-01
4 | 1.789749e+00 | 1.581356e+00 | 2.083926e-01
5 | 1.717285e+00 | 1.476420e+00 | 2.408652e-01
6 | 1.740460e+00 | 1.504002e+00 | 2.364581e-01
7 | 1.741554e+00 | 1.532884e+00 | 2.086697e-01
8 | 1.748059e+00 | 1.534205e+00 | 2.138536e-01
9 | 1.841269e+00 | 1.636177e+00 | 2.050922e-01
10 | 1.803364e+00 | 1.617761e+00 | 1.856024e-01
