Strong scaling NP=1
Run | Total_Time | Communication | Computation
1 | 1.144975e+00 | 3.099442e-06 | 1.144972e+00
2 | 1.183757e+00 | 4.291534e-06 | 1.183753e+00
3 | 1.248405e+00 | 2.861023e-06 | 1.248402e+00
4 | 1.214197e+00 | 3.576279e-06 | 1.214193e+00
5 | 1.239706e+00 | 3.099442e-06 | 1.239703e+00
6 | 1.513732e+00 | 4.291534e-06 | 1.513728e+00
7 | 1.240910e+00 | 2.622604e-06 | 1.240907e+00
8 | 1.301765e+00 | 3.099442e-06 | 1.301762e+00
9 | 1.268339e+00 | 2.384186e-06 | 1.268337e+00
10 | 1.324349e+00 | 1.907349e-06 | 1.324347e+00
