Strong concurrent scaling NP=4
Run | Total_Time | Communication | Computation
1 | 1.923412e+00 | 1.234997e+00 | 6.884148e-01
2 | 2.031226e+00 | 1.251618e+00 | 7.796085e-01
3 | 1.920807e+00 | 1.310161e+00 | 6.106462e-01
4 | 2.540370e+00 | 1.182869e+00 | 1.357501e+00
5 | 1.819767e+00 | 1.255720e+00 | 5.640469e-01
6 | 1.998588e+00 | 1.457743e+00 | 5.408449e-01
7 | 2.193424e+00 | 1.662858e+00 | 5.305667e-01
8 | 2.933518e+00 | 1.256274e+00 | 1.677244e+00
9 | 2.241010e+00 | 1.247867e+00 | 9.931428e-01
10 | 1.890355e+00 | 1.242253e+00 | 6.481023e-01
