Strong 2D scaling NP=2
Run | Total_Time | Communication | Computation
1 | 3.504961e+00 | 1.594034e+00 | 1.910927e+00
2 | 3.457520e+00 | 1.585112e+00 | 1.872409e+00
3 | 3.640393e+00 | 1.690672e+00 | 1.949721e+00
4 | 3.533574e+00 | 1.588317e+00 | 1.945258e+00
5 | 3.524691e+00 | 1.573553e+00 | 1.951138e+00
6 | 3.536664e+00 | 1.586438e+00 | 1.950226e+00
7 | 3.553321e+00 | 1.591328e+00 | 1.961993e+00
8 | 3.499292e+00 | 1.583201e+00 | 1.916090e+00
9 | 3.530222e+00 | 1.593021e+00 | 1.937201e+00
10 | 3.760301e+00 | 1.692816e+00 | 2.067485e+00
