Weak scaling NP=64 - Matrix: WS7.mtx
Run | Total_Time | Communication | Computation
1 | 1.514304e-01 | 9.888482e-02 | 5.254555e-02
2 | 2.414203e-01 | 1.914396e-01 | 4.998064e-02
3 | 3.556990e+00 | 3.436072e+00 | 1.209180e-01
4 | 3.408620e+00 | 3.354527e+00 | 5.409217e-02
5 | 4.128339e-01 | 3.356285e-01 | 7.720542e-02
6 | 9.792275e-01 | 9.080460e-01 | 7.118154e-02
7 | 3.792870e-01 | 3.410490e-01 | 3.823805e-02
8 | 3.812125e-01 | 3.100252e-01 | 7.118726e-02
9 | 3.401500e+00 | 3.297531e+00 | 1.039696e-01
10 | 3.379691e+00 | 3.181149e+00 | 1.985421e-01
