Strong concurrent scaling NP=64
Run | Total_Time | Communication | Computation
1 | 2.543824e+00 | 2.301694e+00 | 2.421300e-01
2 | 2.470083e+00 | 2.425835e+00 | 4.424882e-02
3 | 2.523228e+00 | 2.402966e+00 | 1.202619e-01
4 | 2.442163e+00 | 2.403141e+00 | 3.902197e-02
5 | 2.467200e+00 | 2.313945e+00 | 1.532550e-01
6 | 2.455771e+00 | 2.351328e+00 | 1.044436e-01
7 | 2.433443e+00 | 2.411104e+00 | 2.233863e-02
8 | 2.579232e+00 | 2.293204e+00 | 2.860284e-01
9 | 2.465530e+00 | 2.259902e+00 | 2.056282e-01
10 | 2.491193e+00 | 2.380412e+00 | 1.107805e-01
