Weak 2D scaling NP=64
Run | Total_Time | Communication | Computation
1 | 5.984378e-02 | 3.915095e-02 | 2.069283e-02
2 | 6.255484e-02 | 3.671551e-02 | 2.583933e-02
3 | 6.463623e-02 | 3.792310e-02 | 2.671313e-02
4 | 6.384683e-02 | 4.170918e-02 | 2.213764e-02
5 | 8.563590e-02 | 6.463075e-02 | 2.100515e-02
6 | 6.202936e-02 | 3.699207e-02 | 2.503729e-02
7 | 6.234074e-02 | 2.800846e-02 | 3.433228e-02
8 | 6.186557e-02 | 3.258872e-02 | 2.927685e-02
9 | 6.171441e-02 | 3.850698e-02 | 2.320743e-02
10 | 6.279516e-02 | 4.213858e-02 | 2.065659e-02
