Weak concurrent scaling NP=4
Run | Total_Time | Communication | Computation
1 | 3.086042e-02 | 2.651930e-03 | 2.820849e-02
2 | 3.507280e-02 | 2.639532e-03 | 3.243327e-02
3 | 4.660392e-02 | 2.539635e-03 | 4.406428e-02
4 | 4.577065e-02 | 2.596617e-03 | 4.317403e-02
5 | 5.468082e-02 | 4.210949e-03 | 5.046988e-02
6 | 4.548836e-02 | 2.588272e-03 | 4.290009e-02
7 | 2.804351e-02 | 2.826214e-03 | 2.521729e-02
8 | 4.474974e-02 | 2.663374e-03 | 4.208636e-02
9 | 4.863191e-02 | 2.613783e-03 | 4.601812e-02
10 | 3.501987e-02 | 2.612591e-03 | 3.240728e-02
