Weak mpiio scaling NP=1
Run | Total_Time | Communication | Computation
1 | 3.578663e-03 | 4.529953e-06 | 3.574133e-03
2 | 3.262043e-03 | 5.483627e-06 | 3.256559e-03
3 | 3.232718e-03 | 5.722046e-06 | 3.226995e-03
4 | 3.321171e-03 | 4.053116e-06 | 3.317118e-03
5 | 3.237963e-03 | 4.768372e-06 | 3.233194e-03
6 | 3.551722e-03 | 4.291534e-06 | 3.547430e-03
7 | 3.568172e-03 | 5.722046e-06 | 3.562450e-03
8 | 3.271580e-03 | 4.053116e-06 | 3.267527e-03
9 | 3.295183e-03 | 4.291534e-06 | 3.290892e-03
10 | 3.110647e-03 | 4.768372e-06 | 3.105879e-03
