Strong mpiio scaling NP=2
Run | Total_Time | Communication | Computation
1 | 9.908791e-01 | 5.030167e-01 | 4.878623e-01
2 | 9.920428e-01 | 4.969556e-01 | 4.950871e-01
3 | 1.045931e+00 | 5.638793e-01 | 4.820518e-01
4 | 9.727840e-01 | 4.912586e-01 | 4.815254e-01
5 | 1.039600e+00 | 5.606310e-01 | 4.789689e-01
6 | 1.063213e+00 | 5.700955e-01 | 4.931173e-01
7 | 9.746835e-01 | 4.926946e-01 | 4.819889e-01
8 | 9.616969e-01 | 4.849238e-01 | 4.767730e-01
9 | 1.049162e+00 | 5.619493e-01 | 4.872127e-01
10 | 1.069302e+00 | 5.694206e-01 | 4.998813e-01
