Strong concurrent scaling NP=16
Run | Total_Time | Communication | Computation
1 | 2.178256e+00 | 1.754931e+00 | 4.233246e-01
2 | 2.181633e+00 | 1.794730e+00 | 3.869026e-01
3 | 2.142000e+00 | 1.796560e+00 | 3.454401e-01
4 | 2.186339e+00 | 1.800745e+00 | 3.855944e-01
5 | 2.120984e+00 | 1.736791e+00 | 3.841934e-01
6 | 2.180008e+00 | 1.855242e+00 | 3.247664e-01
7 | 2.217201e+00 | 1.829942e+00 | 3.872592e-01
8 | 2.156795e+00 | 1.755330e+00 | 4.014647e-01
9 | 2.104822e+00 | 1.744642e+00 | 3.601792e-01
10 | 2.127855e+00 | 1.706761e+00 | 4.210935e-01
