Strong mpiio scaling NP=64
Run | Total_Time | Communication | Computation
1 | 2.285544e+00 | 2.058511e+00 | 2.270329e-01
2 | 2.358987e+00 | 2.087968e+00 | 2.710192e-01
3 | 2.149186e+00 | 2.079949e+00 | 6.923771e-02
4 | 2.298965e+00 | 2.142192e+00 | 1.567731e-01
5 | 2.165120e+00 | 2.084427e+00 | 8.069372e-02
6 | 2.295120e+00 | 2.117846e+00 | 1.772747e-01
7 | 2.325610e+00 | 2.204438e+00 | 1.211717e-01
8 | 2.313638e+00 | 2.112179e+00 | 2.014594e-01
9 | 2.243075e+00 | 2.086805e+00 | 1.562700e-01
10 | 2.397304e+00 | 1.985333e+00 | 4.119709e-01
