Strong scaling NP=4
Run | Total_Time | Communication | Computation
1 | 1.524673e+00 | 1.077493e+00 | 4.471803e-01
2 | 1.660821e+00 | 1.136874e+00 | 5.239465e-01
3 | 1.844688e+00 | 1.356733e+00 | 4.879549e-01
4 | 1.681568e+00 | 1.192512e+00 | 4.890563e-01
5 | 1.654645e+00 | 1.177284e+00 | 4.773605e-01
6 | 1.784890e+00 | 1.386162e+00 | 3.987281e-01
7 | 1.785136e+00 | 1.424051e+00 | 3.610857e-01
8 | 1.682637e+00 | 1.183408e+00 | 4.992292e-01
9 | 1.559380e+00 | 1.261167e+00 | 2.982130e-01
10 | 1.893230e+00 | 1.528356e+00 | 3.648739e-01
