Weak 2D scaling NP=32
Run | Total_Time | Communication | Computation
1 | 4.513621e-02 | 2.204728e-02 | 2.308893e-02
2 | 4.162407e-02 | 2.428055e-02 | 1.734352e-02
3 | 5.882454e-02 | 4.442906e-02 | 1.439548e-02
4 | 4.864860e-02 | 2.736497e-02 | 2.128363e-02
5 | 4.269266e-02 | 2.884603e-02 | 1.384664e-02
6 | 4.489136e-02 | 2.479076e-02 | 2.010059e-02
7 | 4.549670e-02 | 2.554464e-02 | 1.995206e-02
8 | 4.425192e-02 | 2.513433e-02 | 1.911759e-02
9 | 3.973889e-02 | 2.596688e-02 | 1.377201e-02
10 | 4.346466e-02 | 2.478623e-02 | 1.867843e-02
