Strong 2D scaling NP=16
Run | Total_Time | Communication | Computation
1 | 1.433842e+00 | 5.846918e-01 | 8.491507e-01
2 | 1.458458e+00 | 5.876296e-01 | 8.708282e-01
3 | 1.498132e+00 | 5.926690e-01 | 9.054635e-01
4 | 2.000407e+00 | 5.862224e-01 | 1.414184e+00
5 | 1.627306e+00 | 6.072316e-01 | 1.020075e+00
6 | 1.458421e+00 | 5.930412e-01 | 8.653793e-01
7 | 2.361049e+00 | 6.729202e-01 | 1.688129e+00
8 | 1.541478e+00 | 5.942163e-01 | 9.472616e-01
9 | 2.040080e+00 | 6.450922e-01 | 1.394987e+00
10 | 1.616640e+00 | 5.663168e-01 | 1.050323e+00
