Weak concurrent scaling NP=128
Run | Total_Time | Communication | Computation
1 | 3.633182e-01 | 1.915069e-01 | 1.718113e-01
2 | 3.629086e-01 | 1.818824e-01 | 1.810262e-01
3 | 3.584516e-01 | 1.815083e-01 | 1.769433e-01
4 | 3.670261e-01 | 2.135901e-01 | 1.534359e-01
5 | 3.631396e-01 | 2.086811e-01 | 1.544585e-01
6 | 3.615184e-01 | 1.960852e-01 | 1.654332e-01
7 | 3.734784e-01 | 1.976111e-01 | 1.758673e-01
8 | 3.580284e-01 | 1.934583e-01 | 1.645701e-01
9 | 3.682845e-01 | 1.931069e-01 | 1.751776e-01
10 | 4.495432e-01 | 2.485678e-01 | 2.009754e-01
