Weak concurrent scaling NP=8
Run | Total_Time | Communication | Computation
1 | 4.364967e-02 | 6.476164e-03 | 3.717351e-02
2 | 4.115677e-02 | 6.122589e-03 | 3.503418e-02
3 | 4.966640e-02 | 6.359100e-03 | 4.330730e-02
4 | 3.267097e-02 | 6.436348e-03 | 2.623463e-02
5 | 5.007815e-02 | 6.463528e-03 | 4.361463e-02
6 | 3.079748e-02 | 6.261587e-03 | 2.453589e-02
7 | 4.689145e-02 | 6.652117e-03 | 4.023933e-02
8 | 2.728581e-02 | 6.410837e-03 | 2.087498e-02
9 | 4.627991e-02 | 6.841183e-03 | 3.943872e-02
10 | 2.831006e-02 | 6.318331e-03 | 2.199173e-02
