Weak scaling NP=8 - Matrix: WS4.mtx
Run | Total_Time | Communication | Computation
1 | 9.726477e-02 | 3.988171e-02 | 5.738306e-02
2 | 1.248701e-01 | 6.861329e-02 | 5.625677e-02
3 | 1.093075e-01 | 7.842612e-02 | 3.088140e-02
4 | 1.047490e-01 | 5.696297e-02 | 4.778600e-02
5 | 9.106207e-02 | 6.384015e-02 | 2.722192e-02
6 | 1.075509e-01 | 5.616403e-02 | 5.138683e-02
7 | 5.615392e-01 | 3.780303e-01 | 1.835089e-01
8 | 1.329694e-01 | 8.065367e-02 | 5.231571e-02
9 | 5.745959e-02 | 1.184607e-02 | 4.561353e-02
10 | 3.170028e-01 | 2.248023e-01 | 9.220052e-02
