Weak scaling NP=16 - Matrix: WS5.mtx
Run | Total_Time | Communication | Computation
1 | 1.306870e-01 | 6.046319e-02 | 7.022381e-02
2 | 1.135352e-01 | 5.000377e-02 | 6.353140e-02
3 | 2.658815e-01 | 1.391363e-01 | 1.267452e-01
4 | 1.020133e-01 | 5.098987e-02 | 5.102348e-02
5 | 1.491647e-01 | 1.055720e-01 | 4.359269e-02
6 | 7.670295e-01 | 7.150123e-01 | 5.201721e-02
7 | 9.999871e-02 | 5.477715e-02 | 4.522157e-02
8 | 8.558416e-02 | 5.221653e-02 | 3.336763e-02
9 | 3.255928e-01 | 2.741036e-01 | 5.148911e-02
10 | 1.039577e-01 | 6.370592e-02 | 4.025173e-02
