Weak scaling NP=4 - Matrix: WS3.mtx
Run | Total_Time | Communication | Computation
1 | 2.746153e-02 | 1.739025e-03 | 2.572250e-02
2 | 4.836440e-02 | 2.293015e-02 | 2.543426e-02
3 | 4.968262e-02 | 4.601002e-03 | 4.508162e-02
4 | 2.752423e-02 | 1.633883e-03 | 2.589035e-02
5 | 3.482533e-02 | 5.553722e-03 | 2.927160e-02
6 | 3.943372e-02 | 1.337647e-02 | 2.605724e-02
7 | 3.539562e-02 | 5.615711e-03 | 2.977991e-02
8 | 1.468158e-02 | 1.877546e-03 | 1.280403e-02
9 | 3.527856e-02 | 5.234957e-03 | 3.004360e-02
10 | 8.862019e-02 | 1.282549e-02 | 7.579470e-02
