Strong concurrent scaling NP=1
Run | Total_Time | Communication | Computation
1 | 4.118764e+00 | 5.483627e-06 | 4.118758e+00
2 | 4.135456e+00 | 5.245209e-06 | 4.135450e+00
3 | 4.078656e+00 | 2.074242e-05 | 4.078635e+00
4 | 3.814204e+00 | 2.193451e-05 | 3.814182e+00
5 | 3.254683e+00 | 4.291534e-06 | 3.254679e+00
6 | 4.085801e+00 | 1.072884e-05 | 4.085790e+00
7 | 4.462211e+00 | 5.722046e-06 | 4.462205e+00
8 | 3.813405e+00 | 5.960464e-06 | 3.813399e+00
9 | 3.681108e+00 | 4.768372e-06 | 3.681103e+00
10 | 1.398638e+00 | 2.694130e-05 | 1.398611e+00
