Strong 2D scaling NP=128
Run | Total_Time | Communication | Computation
1 | 1.917110e+00 | 1.294050e+00 | 6.230602e-01
2 | 1.892399e+00 | 1.646124e+00 | 2.462749e-01
3 | 1.920202e+00 | 1.088576e+00 | 8.316262e-01
4 | 1.913351e+00 | 1.478604e+00 | 4.347465e-01
5 | 1.917956e+00 | 1.551417e+00 | 3.665385e-01
6 | 1.904238e+00 | 1.575134e+00 | 3.291039e-01
7 | 1.965725e+00 | 1.272596e+00 | 6.931295e-01
8 | 1.921513e+00 | 1.630617e+00 | 2.908964e-01
9 | 1.933100e+00 | 1.649678e+00 | 2.834225e-01
10 | 1.955561e+00 | 1.332396e+00 | 6.231649e-01
