Strong scaling NP=64
Run | Total_Time | Communication | Computation
1 | 2.837081e+00 | 2.522017e+00 | 3.150644e-01
2 | 2.793386e+00 | 2.497291e+00 | 2.960947e-01
3 | 2.945279e+00 | 2.427032e+00 | 5.182467e-01
4 | 2.861898e+00 | 2.526749e+00 | 3.351486e-01
5 | 2.909334e+00 | 2.463304e+00 | 4.460306e-01
6 | 2.902725e+00 | 2.476266e+00 | 4.264588e-01
7 | 2.885737e+00 | 2.441848e+00 | 4.438889e-01
8 | 2.860418e+00 | 2.474444e+00 | 3.859739e-01
9 | 2.973547e+00 | 2.591888e+00 | 3.816581e-01
10 | 3.223696e+00 | 2.605238e+00 | 6.184580e-01
