Strong concurrent scaling NP=32
Run | Total_Time | Communication | Computation
1 | 2.419945e+00 | 2.204525e+00 | 2.154205e-01
2 | 2.397331e+00 | 2.202261e+00 | 1.950703e-01
3 | 2.327193e+00 | 2.124098e+00 | 2.030952e-01
4 | 2.306942e+00 | 2.111547e+00 | 1.953957e-01
5 | 2.385180e+00 | 2.176937e+00 | 2.082438e-01
6 | 2.382503e+00 | 2.175138e+00 | 2.073653e-01
7 | 2.416425e+00 | 2.212220e+00 | 2.042058e-01
8 | 2.389478e+00 | 2.181592e+00 | 2.078855e-01
9 | 2.366256e+00 | 2.158515e+00 | 2.077410e-01
10 | 2.498554e+00 | 2.296123e+00 | 2.024305e-01
