Strong concurrent scaling NP=8
Run | Total_Time | Communication | Computation
1 | 2.043359e+00 | 1.687608e+00 | 3.557518e-01
2 | 3.005600e+00 | 1.567043e+00 | 1.438558e+00
3 | 2.128213e+00 | 1.650593e+00 | 4.776206e-01
4 | 1.984699e+00 | 1.490365e+00 | 4.943340e-01
5 | 2.099783e+00 | 1.588385e+00 | 5.113981e-01
6 | 2.104279e+00 | 1.617702e+00 | 4.865768e-01
7 | 2.711184e+00 | 1.623063e+00 | 1.088122e+00
8 | 2.004615e+00 | 1.688207e+00 | 3.164084e-01
9 | 3.072545e+00 | 1.650779e+00 | 1.421767e+00
10 | 2.985901e+00 | 1.567492e+00 | 1.418409e+00
