Weak 2D scaling NP=2
Run | Total_Time | Communication | Computation
1 | 7.382631e-03 | 7.238388e-04 | 6.658792e-03
2 | 7.208586e-03 | 6.229877e-04 | 6.585598e-03
3 | 7.100582e-03 | 6.511211e-04 | 6.449461e-03
4 | 7.113457e-03 | 6.468296e-04 | 6.466627e-03
5 | 7.267237e-03 | 7.236004e-04 | 6.543636e-03
6 | 6.862879e-03 | 6.203651e-04 | 6.242514e-03
7 | 7.162809e-03 | 6.096363e-04 | 6.553173e-03
8 | 6.785393e-03 | 6.616116e-04 | 6.123781e-03
9 | 6.895065e-03 | 6.299019e-04 | 6.265163e-03
10 | 6.862402e-03 | 6.935596e-04 | 6.168842e-03
