Weak mpiio scaling NP=2
Run | Total_Time | Communication | Computation
1 | 5.868673e-03 | 3.054142e-04 | 5.563259e-03
2 | 6.446362e-03 | 2.470016e-04 | 6.199360e-03
3 | 6.760836e-03 | 2.539158e-04 | 6.506920e-03
4 | 6.368876e-03 | 2.386570e-04 | 6.130219e-03
5 | 6.559372e-03 | 2.498627e-04 | 6.309509e-03
6 | 6.449223e-03 | 2.641678e-04 | 6.185055e-03
7 | 6.619453e-03 | 2.362728e-04 | 6.383181e-03
8 | 6.665707e-03 | 2.350807e-04 | 6.430626e-03
9 | 6.668568e-03 | 2.388954e-04 | 6.429672e-03
10 | 6.673098e-03 | 2.312660e-04 | 6.441832e-03
