Strong scaling NP=16
Run | Total_Time | Communication | Computation
1 | 1.736343e+00 | 1.442384e+00 | 2.939591e-01
2 | 1.774447e+00 | 1.484679e+00 | 2.897680e-01
3 | 1.714169e+00 | 1.508540e+00 | 2.056286e-01
4 | 1.816595e+00 | 1.587393e+00 | 2.292025e-01
5 | 1.704154e+00 | 1.489246e+00 | 2.149088e-01
6 | 2.008009e+00 | 1.737483e+00 | 2.705269e-01
7 | 2.061030e+00 | 1.824210e+00 | 2.368205e-01
8 | 1.976402e+00 | 1.678140e+00 | 2.982614e-01
9 | 2.030861e+00 | 1.719931e+00 | 3.109307e-01
10 | 2.071539e+00 | 1.851973e+00 | 2.195663e-01
