Weak 2D scaling NP=1
Run | Total_Time | Communication | Computation
1 | 3.921986e-03 | 1.161098e-04 | 3.805876e-03
2 | 3.909349e-03 | 1.282692e-04 | 3.781080e-03
3 | 3.959179e-03 | 1.296997e-04 | 3.829479e-03
4 | 3.941536e-03 | 1.323223e-04 | 3.809214e-03
5 | 4.040956e-03 | 1.313686e-04 | 3.909588e-03
6 | 3.813982e-03 | 1.080036e-04 | 3.705978e-03
7 | 3.914118e-03 | 1.301765e-04 | 3.783941e-03
8 | 3.577471e-03 | 9.965897e-05 | 3.477812e-03
9 | 3.699064e-03 | 1.077652e-04 | 3.591299e-03
10 | 3.850698e-03 | 1.144409e-04 | 3.736258e-03
