Weak 2D scaling NP=4
Run | Total_Time | Communication | Computation
1 | 8.168697e-03 | 6.110668e-04 | 7.557631e-03
2 | 8.196831e-03 | 7.042885e-04 | 7.492542e-03
3 | 8.306980e-03 | 7.605553e-04 | 7.546425e-03
4 | 8.169889e-03 | 7.998943e-04 | 7.369995e-03
5 | 8.130550e-03 | 6.239414e-04 | 7.506609e-03
6 | 7.958174e-03 | 6.885529e-04 | 7.269621e-03
7 | 8.110762e-03 | 6.651878e-04 | 7.445574e-03
8 | 8.194208e-03 | 6.728172e-04 | 7.521391e-03
9 | 8.728504e-03 | 6.384850e-04 | 8.090019e-03
10 | 8.244991e-03 | 7.064342e-04 | 7.538557e-03
