Weak mpiio scaling NP=4
Run | Total_Time | Communication | Computation
1 | 1.151562e-02 | 1.289606e-03 | 1.022601e-02
2 | 1.110530e-02 | 1.374006e-03 | 9.731293e-03
3 | 1.183558e-02 | 1.402140e-03 | 1.043344e-02
4 | 1.149774e-02 | 1.317024e-03 | 1.018071e-02
5 | 1.143384e-02 | 1.315594e-03 | 1.011825e-02
6 | 1.145530e-02 | 1.294136e-03 | 1.016116e-02
7 | 1.157331e-02 | 1.324654e-03 | 1.024866e-02
8 | 1.155853e-02 | 1.354218e-03 | 1.020432e-02
9 | 1.128674e-02 | 1.279593e-03 | 1.000714e-02
10 | 1.167297e-02 | 1.363277e-03 | 1.030970e-02
