Strong concurrent scaling NP=128
Run | Total_Time | Communication | Computation
1 | 2.812958e+00 | 2.574337e+00 | 2.386210e-01
2 | 2.814130e+00 | 2.594747e+00 | 2.193825e-01
3 | 2.725591e+00 | 2.563627e+00 | 1.619639e-01
4 | 2.808646e+00 | 2.571464e+00 | 2.371824e-01
5 | 2.822217e+00 | 2.577491e+00 | 2.447262e-01
6 | 2.914703e+00 | 2.530040e+00 | 3.846631e-01
7 | 2.777832e+00 | 2.615044e+00 | 1.627872e-01
8 | 2.760621e+00 | 2.547044e+00 | 2.135773e-01
9 | 2.901433e+00 | 2.864888e+00 | 3.654480e-02
10 | 2.823483e+00 | 2.552676e+00 | 2.708075e-01
