Weak concurrent scaling NP=32
Run | Total_Time | Communication | Computation
1 | 8.949924e-02 | 3.611755e-02 | 5.338168e-02
2 | 9.379458e-02 | 3.276443e-02 | 6.103015e-02
3 | 9.774327e-02 | 3.199410e-02 | 6.574917e-02
4 | 9.790730e-02 | 3.112221e-02 | 6.678510e-02
5 | 9.671354e-02 | 3.148293e-02 | 6.523061e-02
6 | 9.370613e-02 | 3.203344e-02 | 6.167269e-02
7 | 9.874725e-02 | 3.276372e-02 | 6.598353e-02
8 | 8.143687e-02 | 3.158307e-02 | 4.985380e-02
9 | 1.107645e-01 | 3.090215e-02 | 7.986236e-02
10 | 8.951569e-02 | 3.063130e-02 | 5.888438e-02
