Strong scaling NP=128
Run | Total_Time | Communication | Computation
1 | 3.314759e+00 | 2.775149e+00 | 5.396101e-01
2 | 3.486121e+00 | 2.936899e+00 | 5.492227e-01
3 | 5.513372e+00 | 5.203969e+00 | 3.094027e-01
4 | 7.238192e+00 | 6.684484e+00 | 5.537076e-01
5 | 4.273397e+00 | 3.727488e+00 | 5.459094e-01
6 | 3.493337e+00 | 3.167709e+00 | 3.256273e-01
7 | 5.140762e+00 | 3.841863e+00 | 1.298899e+00
8 | 4.598048e+00 | 4.249403e+00 | 3.486445e-01
9 | 4.980924e+00 | 4.312492e+00 | 6.684318e-01
10 | 3.454629e+00 | 2.751701e+00 | 7.029281e-01
