Strong 2D scaling NP=1
Run | Total_Time | Communication | Computation
1 | 4.148857e+00 | 9.531071e-01 | 3.195750e+00
2 | 4.019423e+00 | 9.602048e-01 | 3.059218e+00
3 | 3.818905e+00 | 9.720814e-01 | 2.846823e+00
4 | 4.105625e+00 | 9.712667e-01 | 3.134358e+00
5 | 3.876463e+00 | 9.599411e-01 | 2.916522e+00
6 | 4.170780e+00 | 9.515662e-01 | 3.219214e+00
7 | 4.135607e+00 | 9.545457e-01 | 3.181062e+00
8 | 4.106393e+00 | 9.455850e-01 | 3.160808e+00
9 | 3.823634e+00 | 9.989638e-01 | 2.824670e+00
10 | 3.523333e+00 | 9.249325e-01 | 2.598401e+00
