Weak mpiio scaling NP=64
Run | Total_Time | Communication | Computation
1 | 1.379504e-01 | 8.406949e-02 | 5.388093e-02
2 | 1.268339e-01 | 6.609249e-02 | 6.074142e-02
3 | 1.432440e-01 | 8.358526e-02 | 5.965877e-02
4 | 1.614604e-01 | 1.005743e-01 | 6.088614e-02
5 | 1.525412e-01 | 9.495950e-02 | 5.758166e-02
6 | 1.307986e-01 | 7.180190e-02 | 5.899668e-02
7 | 1.379185e-01 | 7.541156e-02 | 6.250691e-02
8 | 1.454322e-01 | 7.828307e-02 | 6.714916e-02
9 | 1.393728e-01 | 7.403493e-02 | 6.533790e-02
10 | 1.465418e-01 | 9.073138e-02 | 5.581045e-02
