Strong scaling NP=32
Run | Total_Time | Communication | Computation
1 | 2.431690e+00 | 2.224753e+00 | 2.069364e-01
2 | 2.407623e+00 | 2.200662e+00 | 2.069612e-01
3 | 2.287001e+00 | 2.067548e+00 | 2.194533e-01
4 | 2.237952e+00 | 2.021069e+00 | 2.168825e-01
5 | 2.426850e+00 | 2.182507e+00 | 2.443423e-01
6 | 2.276767e+00 | 2.061484e+00 | 2.152827e-01
7 | 2.223237e+00 | 2.023511e+00 | 1.997259e-01
8 | 2.442688e+00 | 2.150852e+00 | 2.918360e-01
9 | 2.313907e+00 | 2.061245e+00 | 2.526622e-01
10 | 2.166362e+00 | 1.896228e+00 | 2.701335e-01
