Weak concurrent scaling NP=1
Run | Total_Time | Communication | Computation
1 | 3.888845e-03 | 4.529953e-06 | 3.884315e-03
2 | 3.671408e-03 | 2.861023e-06 | 3.668547e-03
3 | 3.730059e-03 | 3.099442e-06 | 3.726959e-03
4 | 3.647089e-03 | 4.053116e-06 | 3.643036e-03
5 | 3.645658e-03 | 3.337860e-06 | 3.642321e-03
6 | 3.962278e-03 | 5.006790e-06 | 3.957272e-03
7 | 3.603935e-03 | 3.814697e-06 | 3.600121e-03
8 | 3.608704e-03 | 3.099442e-06 | 3.605604e-03
9 | 3.738642e-03 | 3.337860e-06 | 3.735304e-03
10 | 3.631115e-03 | 3.099442e-06 | 3.628016e-03
