Strong mpiio scaling NP=4
Run | Total_Time | Communication | Computation
1 | 1.329485e+00 | 1.053125e+00 | 2.763598e-01
2 | 1.392370e+00 | 1.056225e+00 | 3.361452e-01
3 | 1.384533e+00 | 1.042410e+00 | 3.421233e-01
4 | 1.269195e+00 | 9.593313e-01 | 3.098636e-01
5 | 1.452178e+00 | 1.049474e+00 | 4.027040e-01
6 | 1.384066e+00 | 1.056594e+00 | 3.274724e-01
7 | 1.448448e+00 | 1.047501e+00 | 4.009478e-01
8 | 1.378037e+00 | 1.041951e+00 | 3.360860e-01
9 | 1.378764e+00 | 1.051306e+00 | 3.274581e-01
10 | 1.380614e+00 | 9.742618e-01 | 4.063518e-01
