Strong mpiio scaling NP=16
Run | Total_Time | Communication | Computation
1 | 1.676404e+00 | 1.487826e+00 | 1.885781e-01
2 | 1.636094e+00 | 1.404702e+00 | 2.313917e-01
3 | 1.674702e+00 | 1.411409e+00 | 2.632928e-01
4 | 1.659049e+00 | 1.425091e+00 | 2.339582e-01
5 | 1.634326e+00 | 1.422429e+00 | 2.118979e-01
6 | 1.525727e+00 | 1.263860e+00 | 2.618668e-01
7 | 1.475673e+00 | 1.280044e+00 | 1.956294e-01
8 | 1.528556e+00 | 1.294233e+00 | 2.343233e-01
9 | 1.608376e+00 | 1.392689e+00 | 2.156870e-01
10 | 1.542478e+00 | 1.297666e+00 | 2.448118e-01
