Strong 2D scaling NP=4
Run | Total_Time | Communication | Computation
1 | 2.841243e+00 | 8.120656e-01 | 2.029177e+00
2 | 2.857097e+00 | 8.075583e-01 | 2.049539e+00
3 | 2.812829e+00 | 8.038638e-01 | 2.008965e+00
4 | 2.750139e+00 | 8.217325e-01 | 1.928407e+00
5 | 2.753439e+00 | 8.192449e-01 | 1.934194e+00
6 | 2.876441e+00 | 8.245332e-01 | 2.051908e+00
7 | 2.889343e+00 | 8.291264e-01 | 2.060216e+00
8 | 2.847295e+00 | 8.254275e-01 | 2.021868e+00
9 | 2.870579e+00 | 8.156090e-01 | 2.054970e+00
10 | 2.836129e+00 | 8.107882e-01 | 2.025341e+00
