Strong 2D scaling NP=32
Run | Total_Time | Communication | Computation
1 | 1.811912e+00 | 1.353645e+00 | 4.582670e-01
2 | 1.950581e+00 | 1.424419e+00 | 5.261619e-01
3 | 1.849866e+00 | 1.372002e+00 | 4.778643e-01
4 | 1.790223e+00 | 1.229820e+00 | 5.604038e-01
5 | 1.789598e+00 | 1.264614e+00 | 5.249839e-01
6 | 1.732183e+00 | 1.253533e+00 | 4.786499e-01
7 | 1.936555e+00 | 1.339635e+00 | 5.969195e-01
8 | 1.761973e+00 | 1.330162e+00 | 4.318116e-01
9 | 1.696355e+00 | 1.288117e+00 | 4.082379e-01
10 | 1.763832e+00 | 1.338120e+00 | 4.257126e-01
