Weak scaling NP=2 - Matrix: WS2.mtx
Run | Total_Time | Communication | Computation
1 | 8.098841e-03 | 3.938675e-04 | 7.704973e-03
2 | 1.779652e-02 | 4.217625e-04 | 1.737475e-02
3 | 8.324623e-03 | 3.743172e-04 | 7.950306e-03
4 | 1.137829e-02 | 3.662109e-04 | 1.101208e-02
5 | 2.130103e-02 | 3.874302e-04 | 2.091360e-02
6 | 8.238077e-03 | 3.707409e-04 | 7.867336e-03
7 | 8.235216e-03 | 3.604889e-04 | 7.874727e-03
8 | 7.949591e-03 | 3.819466e-04 | 7.567644e-03
9 | 2.067065e-02 | 1.333308e-02 | 7.337570e-03
10 | 2.136016e-02 | 3.721714e-04 | 2.098799e-02
