Performance results for ./matrix/2.mtx with 16 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,935,601,634 | 28,709,239 | 493,456 | 121,095
2,935,704,930 | 28,828,692 | 459,485 | 111,679
2,935,701,489 | 28,653,879 | 437,972 | 114,807
2,935,632,956 | 28,709,582 | 433,291 | 121,985
2,935,576,905 | 28,676,319 | 513,621 | 122,475
2,935,583,001 | 28,662,558 | 470,802 | 116,877
2,935,576,049 | 28,738,132 | 564,406 | 118,518
2,935,634,423 | 28,746,277 | 421,935 | 111,762
2,935,601,158 | 28,625,189 | 440,378 | 120,475
2,935,639,699 | 28,720,995 | 467,093 | 115,270
