Performance results for ./matrix/1.mtx with 4 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
596,452,321 | 5,764,020 | 100,657 | 15,145
596,460,441 | 5,763,348 | 123,897 | 11,289
596,473,157 | 5,752,631 | 99,700 | 11,305
596,446,842 | 5,759,796 | 105,645 | 11,665
596,478,659 | 5,772,477 | 113,065 | 27,946
596,472,590 | 5,754,231 | 108,409 | 11,997
596,451,229 | 5,749,122 | 89,479 | 10,932
596,432,968 | 5,778,722 | 104,669 | 11,929
596,457,458 | 5,763,802 | 91,276 | 11,995
596,458,661 | 5,773,993 | 96,501 | 11,388
