Performance results for ./matrix/4.mtx with 32 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
77,584,219,884 | 343,855,265 | 1,606,707 | 838,866
77,585,396,676 | 344,536,696 | 1,596,355 | 852,519
77,587,977,436 | 343,311,043 | 1,521,923 | 823,092
77,585,848,828 | 344,002,420 | 1,518,320 | 813,878
77,587,720,650 | 343,693,372 | 1,524,171 | 823,592
77,584,978,896 | 343,644,445 | 1,561,811 | 823,436
77,585,595,400 | 343,218,371 | 1,459,462 | 811,389
77,584,452,060 | 341,898,611 | 1,480,030 | 817,336
77,588,139,172 | 344,213,481 | 1,560,841 | 878,490
77,583,874,742 | 344,290,422 | 1,524,435 | 850,574
