Performance results for ./matrix/1.mtx with 64 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
630,115,273 | 5,799,393 | 380,696 | 22,258
626,747,941 | 5,789,127 | 320,932 | 22,085
631,267,838 | 5,780,223 | 361,227 | 20,664
630,203,121 | 5,782,146 | 339,687 | 20,909
612,100,979 | 5,799,444 | 377,536 | 21,344
598,875,435 | 5,791,934 | 415,207 | 21,348
627,198,759 | 5,821,938 | 365,611 | 20,804
624,078,432 | 5,782,860 | 342,253 | 22,113
629,293,059 | 5,786,445 | 373,387 | 22,442
626,737,850 | 5,786,722 | 359,609 | 21,571
