Performance results for ./matrix/4.mtx | threads=8 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
68,847,990,068 | 353,767,913 | 3,093,153 | 1,193,302
68,850,085,366 | 356,606,158 | 3,314,503 | 1,405,022
68,847,989,671 | 354,000,838 | 3,142,686 | 1,193,747
68,848,915,316 | 355,159,320 | 3,188,132 | 1,194,299
68,849,119,021 | 355,134,997 | 3,147,658 | 1,207,637
68,847,993,357 | 356,182,387 | 3,169,649 | 1,191,321
68,848,194,308 | 354,695,237 | 3,196,555 | 1,201,370
68,847,952,545 | 346,586,616 | 2,760,056 | 831,888
68,847,940,190 | 345,868,634 | 2,696,431 | 812,688
68,847,027,245 | 348,322,848 | 2,739,816 | 818,582
