Performance results for ./matrix/3.mtx | threads=2 | chunksize=1
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
49,264,012,812 | 982,381,448 | 475,604,517 | 38,836,752
49,263,922,612 | 985,492,632 | 475,413,225 | 37,497,864
49,264,177,371 | 981,640,109 | 475,696,743 | 37,713,135
49,263,986,997 | 981,770,165 | 476,043,691 | 38,042,741
49,263,952,067 | 981,232,980 | 475,502,045 | 41,265,012
49,263,926,078 | 986,974,897 | 474,867,081 | 37,637,670
49,264,184,906 | 971,150,618 | 476,827,694 | 41,900,999
49,264,222,602 | 1,089,981,367 | 476,237,075 | 34,123,402
49,263,923,118 | 981,303,659 | 475,767,304 | 41,791,557
49,263,968,778 | 980,727,706 | 476,028,610 | 37,613,193
