Schedule = guided | Threads = 32 | Chunk = 100
Elapsed time = 3.993815e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 2.459959e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 3.962237e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 3.938415e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 2.489450e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 2.499407e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 3.900040e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 2.490680e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 4.022636e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 4.074135e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
