Schedule = guided | Threads = 16 | Chunk = 100
Elapsed time = 5.260576e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 5.543562e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.296987e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.025528e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 5.111398e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 5.696965e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 5.092156e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 6.214848e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 5.132547e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 5.068862e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
